,,,,,Games,,Passing,,,,,Rushing,,,,Receiving,,,,,Fumbles,,Scoring,,,Fantasy,,,,,,,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
1,Christian McCaffrey,SFO,RB,27,5,5,0,0,0,0,0,99,510,5.15,7,24,20,168,8.40,1,2,1,8,,,114,133.8,140.8,123.8,71,1,1,McCaCh01
2,Tyreek Hill,MIA,WR,29,5,5,0,0,0,0,0,1,14,14.00,0,49,36,651,18.08,5,0,0,5,,,97,132.5,135.5,114.5,54,1,2,HillTy00
3,De'Von Achane,MIA,RB,22,4,1,0,0,0,0,0,38,460,12.11,5,11,9,67,7.44,2,1,1,7,,,93,101.7,105.7,97.2,51,2,3,AchaDe00
4,Raheem Mostert,MIA,RB,31,5,5,0,0,0,0,0,58,314,5.41,7,17,15,128,8.53,1,3,1,8,,,90,105.2,112.2,97.7,49,3,4,MostRa00
5,D.J. Moore,CHI,WR,26,5,5,0,0,0,0,0,0,0,,0,34,27,531,19.67,5,0,0,5,,,83,110.1,113.1,96.6,42,2,5,MoorD.00
6,Stefon Diggs,BUF,WR,30,5,5,0,0,0,0,0,0,0,,0,50,39,520,13.33,5,1,1,5,,,80,119.0,123.0,99.5,39,3,6,DiggSt00
7,Zack Moss,IND,RB,26,4,4,0,0,0,0,0,89,445,5.00,3,10,8,72,9.00,1,0,0,4,1,,78,85.7,88.7,81.7,37,4,7,MossZa00
8,Kyren Williams,LAR,RB,23,5,4,0,0,0,0,0,77,298,3.87,5,24,13,105,8.08,1,1,0,6,,,76,89.3,95.3,82.8,35,5,8,WillKy02
9,David Montgomery,DET,RB,26,4,4,0,0,0,0,0,88,371,4.22,6,9,5,47,9.40,0,1,1,6,,,76,80.8,84.8,78.3,35,6,9,MontDa01
10,Travis Etienne,JAX,RB,24,5,5,0,0,0,0,0,95,396,4.17,3,21,18,144,8.00,0,0,0,3,1,,74,92.0,98.0,83.0,33,7,10,EtieTr00
11,Justin Jefferson,MIN,WR,24,5,5,0,0,0,0,0,0,0,,0,53,36,571,15.86,3,1,1,3,,,73,109.1,113.1,91.1,32,4,11,JeffJu00
12,Puka Nacua,LAR,WR,22,5,5,0,0,0,0,0,2,4,2.00,0,63,46,572,12.43,2,1,0,2,,,70,115.6,118.6,92.6,29,5,12,NacuPu00
13,Keenan Allen,LAC,WR,31,4,4,1,1,49,1,0,2,6,3.00,0,44,35,434,12.40,3,1,0,3,,,68,103.0,106.0,85.5,27,6,13,AlleKe00
14,Josh Allen,BUF,QB,27,5,5,128,175,1407,11,5,20,120,6.00,3,0,0,0,,0,2,1,3,,,118,118.3,130.3,123.3,26,1,14,AlleJo02
15,A.J. Brown,PHI,WR,26,5,5,0,0,0,0,0,0,0,,0,51,35,541,15.46,2,0,0,2,,,66,101.1,104.1,83.6,26,7,15,BrowAJ00
16,Ja'Marr Chase,CIN,WR,23,5,5,0,0,0,0,0,1,2,2.00,0,60,44,476,10.82,3,0,0,3,,,66,109.8,112.8,87.8,25,8,16,ChasJa00
17,Kenneth Walker III,SEA,RB,23,4,4,0,0,0,0,0,64,283,4.42,5,10,8,73,9.13,0,0,0,5,,,66,73.6,76.6,69.6,25,8,17,WalkKe00
18,Nico Collins,HOU,WR,24,5,2,0,0,0,0,0,0,0,,0,36,25,467,18.68,3,0,0,3,,,65,89.7,92.7,77.2,24,9,18,CollNi00
19,D'Andre Swift,PHI,RB,24,5,4,0,0,0,0,0,76,434,5.71,2,17,15,75,5.00,0,0,0,2,,,63,77.9,80.9,70.4,23,9,19,SwifDA00
20,Davante Adams,LVR,WR,31,5,5,0,0,0,0,0,0,0,,0,54,37,442,11.95,3,0,0,3,,,62,99.2,102.2,80.7,22,10,20,AdamDa01
21,Brian Robinson Jr.,WAS,RB,24,5,5,0,0,0,0,0,67,271,4.04,3,11,9,88,9.78,1,1,0,4,1,,62,70.9,73.9,66.4,22,10,21,RobiBr01
22,Sam LaPorta,DET,TE,22,5,4,0,0,0,0,0,0,0,,0,31,25,289,11.56,3,0,0,3,,,47,71.9,74.9,59.4,22,1,22,LaPoSa01
23,Bijan Robinson,ATL,RB,21,5,5,0,0,0,0,0,67,364,5.43,0,24,21,146,6.95,2,1,1,2,,,61,82.0,89.0,71.5,21,11,23,RobiBi01
24,Isiah Pacheco,KAN,RB,24,5,4,0,0,0,0,0,71,325,4.58,3,13,11,99,9.00,0,0,0,3,,,60,71.4,74.4,65.9,21,12,24,PachIs00
25,Adam Thielen,CAR,WR,33,5,5,0,0,0,0,0,1,6,6.00,0,46,38,394,10.37,3,0,0,3,1,,60,98.0,101.0,79.0,20,11,25,ThieAd00
26,Derrick Henry,TEN,RB,29,5,5,1,2,2,1,0,86,328,3.81,2,11,9,101,11.22,0,0,0,2,,,59,68.0,74.0,63.5,19,13,26,HenrDe00
27,Jalen Hurts,PHI,QB,25,5,5,113,168,1262,6,4,55,206,3.75,4,0,0,0,,0,1,1,4,,,109,109.1,120.1,113.1,18,2,27,HurtJa00
28,Cole Kmet,CHI,TE,24,5,5,0,0,0,0,0,2,1,0.50,0,29,23,231,10.04,3,1,0,3,,,41,64.2,67.2,52.7,16,2,28,KmetCo00
29,Tony Pollard,DAL,RB,26,5,5,0,0,0,0,0,81,340,4.20,2,22,19,96,5.05,0,2,1,2,1,,56,74.6,78.6,65.1,16,14,29,PollTo00
30,Gabriel Davis,BUF,WR,24,5,5,0,0,0,0,0,1,-2,-2.00,0,26,18,320,17.78,4,0,0,4,,,56,73.8,76.8,64.8,16,12,30,DaviGa01
